1 weevil detection(s) on | Sun Mar 21 19:03:43 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 90 
1 weevil detection(s) on | Sun Mar 21 19:03:44 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 91 
1 weevil detection(s) on | Sun Mar 21 19:03:46 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 92 
1 weevil detection(s) on | Sun Mar 21 19:03:47 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 93 
1 weevil detection(s) on | Sun Mar 21 19:03:48 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 94 
1 weevil detection(s) on | Sun Mar 21 19:03:49 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 95 
1 weevil detection(s) on | Sun Mar 21 19:03:50 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 96 
1 weevil detection(s) on | Sun Mar 21 19:03:51 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 97 
1 weevil detection(s) on | Sun Mar 21 19:03:51 2021 | confidence: 0.83 x=1462 y= 569 ImageNr: 98 
1 weevil detection(s) on | Sun Mar 21 19:03:52 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 99 
1 weevil detection(s) on | Sun Mar 21 19:03:53 2021 | confidence: 0.81 x= 639 y=1064 ImageNr: 100 
1 weevil detection(s) on | Sun Mar 21 19:03:53 2021 | confidence: 0.95 x=1033 y= 378 ImageNr: 101 
1 weevil detection(s) on | Sun Mar 21 19:03:54 2021 | confidence: 0.94 x=1032 y= 378 ImageNr: 102 
1 weevil detection(s) on | Sun Mar 21 19:03:55 2021 | confidence: 0.96 x=1033 y= 378 ImageNr: 103 
1 weevil detection(s) on | Sun Mar 21 19:03:56 2021 | confidence: 0.95 x=1032 y= 378 ImageNr: 104 
1 weevil detection(s) on | Sun Mar 21 19:03:56 2021 | confidence: 0.81 x=1462 y= 570 ImageNr: 105 
1 weevil detection(s) on | Sun Mar 21 19:03:57 2021 | confidence: 0.95 x=1033 y= 377 ImageNr: 106 
1 weevil detection(s) on | Sun Mar 21 19:03:58 2021 | confidence: 0.95 x=1032 y= 377 ImageNr: 107 
